proj[] = , 6053.0
proj[] = add, Activation, add, Dropout, add, Dense, add, Activation, , 115.0
proj[] = add, Flatten, add, Dense, add, Dropout, add, Dense, , 49.0
proj[] = Convolution2D, add, MaxPooling2D, add, ZeroPadding2D, add, Convolution2D, add, , 48.0
proj[] = ZeroPadding2D, add, Convolution2D, add, MaxPooling2D, add, ZeroPadding2D, add, , 48.0
proj[] = add, Convolution2D, add, MaxPooling2D, add, ZeroPadding2D, add, Convolution2D, , 48.0
proj[] = add, Dense, adam, compile, Sequential, add, Dense, add, , 48.0
proj[] = add, ZeroPadding2D, add, Convolution2D, add, MaxPooling2D, add, ZeroPadding2D, , 48.0
proj[] = MaxPooling2D, add, ZeroPadding2D, add, Convolution2D, add, ZeroPadding2D, add, , 47.0
proj[] = add, MaxPooling2D, add, ZeroPadding2D, add, Convolution2D, add, ZeroPadding2D, , 47.0
proj[] = add, Dropout, add, Dense, add, Activation, Sequential, add, , 46.0
proj[] = Activation, add, Dropout, add, Dense, add, Activation, Sequential, , 45.0
proj[] = add, Dense, add, Dropout, add, Dense, adam, compile, , 45.0
proj[] = Dense, add, Dense, Adadelta, compile, Sequential, add, Dense, , 42.0
proj[] = add, Dense, Adadelta, compile, Sequential, add, Dense, add, , 42.0
proj[] = add, Dense, add, Dense, Adadelta, compile, Sequential, add, , 42.0
proj[] = add, MaxPooling2D, add, Dropout, add, Flatten, add, Dense, , 42.0
proj[] = predict, global_variables_initializer, run, run, shape, shape, assertAllEqual, assertAllEqual, , 42.0
proj[] = Linear, ReLU, Linear, Sigmoid, Sequential, Linear, ReLU, Linear, , 40.0
proj[] = Sequential, Linear, ReLU, Linear, Sigmoid, Sequential, Linear, ReLU, , 40.0
proj[] = add, Dense, add, Dense, add, Dense, adam, compile, , 40.0
proj[] = as_default, Graph, _build_model, to_float, random_uniform, preprocess, predict, postprocess, , 40.0
proj[] = test_session, as_default, Graph, _build_model, to_float, random_uniform, preprocess, predict, , 40.0
proj[] = Activation, Sequential, add, TimeDistributedDense, add, Activation, add, Dropout, , 39.0
proj[] = Dense, add, Activation, Sequential, add, TimeDistributedDense, add, Activation, , 39.0
proj[] = Dropout, add, Dense, add, Activation, Sequential, add, TimeDistributedDense, , 39.0
proj[] = Sequential, add, TimeDistributedDense, add, Activation, add, Dropout, add, , 39.0
proj[] = TimeDistributedDense, add, Activation, add, Dropout, add, TimeDistributedDense, add, , 39.0
proj[] = add, Activation, Sequential, add, TimeDistributedDense, add, Activation, add, , 39.0
proj[] = add, Activation, add, Dropout, add, TimeDistributedDense, add, Activation, , 39.0
proj[] = add, Conv2D, l2, add, Activation, add, BatchNormalization, add, , 39.0
proj[] = add, Dense, add, Activation, Sequential, add, TimeDistributedDense, add, , 39.0
proj[] = add, Dense, add, Dense, add, Dense, Adadelta, compile, , 39.0
proj[] = add, TimeDistributedDense, add, Activation, add, Dropout, add, TimeDistributedDense, , 39.0
proj[] = random, random, Sequential, add, Dense, add, Dense, add, , 39.0
proj[] = Activation, add, Dropout, add, TimeDistributedDense, add, Activation, Sequential, , 38.0
proj[] = Dense, Adadelta, compile, Sequential, add, Dense, add, Dense, , 38.0
proj[] = MaxPooling2D, add, Dropout, add, Flatten, add, Dense, add, , 38.0
proj[] = Sequential, add, Dense, add, Dropout, add, Dense, add, , 38.0
proj[] = add, Dropout, add, TimeDistributedDense, add, Activation, Sequential, add, , 38.0
proj[] = predict, reshape, zeros, predict, reshape, fabs, fabs, fabs, , 38.0
proj[] = random, Sequential, add, Dense, add, Dense, add, Dense, , 38.0
proj[] = reshape, zeros, predict, reshape, fabs, fabs, fabs, fabs, , 38.0
proj[] = add, Convolution2D, add, Activation, add, Convolution2D, add, Activation, , 37.0
proj[] = Dense, add, Dense, adam, compile, realpath, print, print, , 36.0
proj[] = add, Dense, add, Dense, adam, compile, realpath, print, , 36.0
proj[] = predict, reshape, zeros, predict, reshape, zeros, predict, reshape, , 36.0
proj[] = Dense, Adadelta, compile, realpath, print, print, load_weights, print, , 35.0
proj[] = add, Dense, Adadelta, compile, realpath, print, print, load_weights, , 35.0
proj[] = predict, reshape, fabs, fabs, fabs, fabs, max, min, , 35.0
proj[] = reshape, zeros, predict, reshape, zeros, predict, reshape, fabs, , 35.0
proj[] = zeros, predict, reshape, fabs, fabs, fabs, fabs, max, , 35.0
proj[] = zeros, predict, reshape, zeros, predict, reshape, zeros, predict, , 35.0
proj[] = Convolution2D, add, Activation, add, Convolution2D, add, Activation, add, , 34.0
proj[] = arange, make, reset, random, random, random, random, Sequential, , 34.0
proj[] = make, reset, random, random, random, random, Sequential, add, , 34.0
proj[] = max, meshgrid, arange, arange, predict, ravel, ravel, reshape, , 34.0
proj[] = max, min, max, meshgrid, arange, arange, predict, ravel, , 34.0
proj[] = min, max, meshgrid, arange, arange, predict, ravel, ravel, , 34.0
proj[] = min, max, min, max, meshgrid, arange, arange, predict, , 34.0
proj[] = reset, random, random, random, random, Sequential, add, Dense, , 34.0
proj[] = Sequential, add, Dense, add, Dense, add, Dense, adam, , 33.0
proj[] = plot, show, print, save_weights, save_weights, concatenate, zeros, predict, , 33.0
proj[] = save_weights, concatenate, zeros, predict, reshape, zeros, predict, reshape, , 33.0
proj[] = show, print, save_weights, save_weights, concatenate, zeros, predict, reshape, , 33.0
proj[] = ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, run, run, shape, shape, , 32.0
proj[] = _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, run, run, shape, shape, assertAllEqual, , 32.0
proj[] = print, save_weights, save_weights, concatenate, zeros, predict, reshape, zeros, , 32.0
proj[] = save_weights, save_weights, concatenate, zeros, predict, reshape, zeros, predict, , 32.0
proj[] = Dense, add, Activation, add, Dense, add, Activation, add, , 31.0
proj[] = Dense, add, Dense, add, Dense, add, Dense, Adadelta, , 31.0
proj[] = Reshape, Sequential, add, Dense, add, Activation, add, Dropout, , 31.0
proj[] = Sequential, add, Dense, add, Activation, add, Dense, add, , 31.0
proj[] = add, Reshape, Sequential, add, Dense, add, Activation, add, , 31.0
proj[] = Dense, adam, compile, Sequential, add, Dense, add, Dense, , 30.0
proj[] = Dense, add, Dense, Adadelta, compile, realpath, print, print, , 30.0
proj[] = add, Activation, add, Dense, add, Activation, add, Dense, , 30.0
proj[] = add, Dense, add, Dense, Adadelta, compile, realpath, print, , 30.0
proj[] = concatenate, zeros, predict, reshape, zeros, predict, reshape, fabs, , 29.0
proj[] = random, Sequential, add, Dense, add, Dropout, add, Dense, , 29.0
proj[] = random, random, Sequential, add, Dense, add, Dropout, add, , 29.0
proj[] = Sequential, add, Dense, add, Dropout, add, Dense, adam, , 28.0
proj[] = Dense, add, Dense, add, Dense, adam, compile, realpath, , 27.0
proj[] = Dense, add, Dropout, add, Dense, adam, compile, Sequential, , 27.0
proj[] = Dropout, add, Dense, adam, compile, Sequential, add, Dense, , 27.0
proj[] = Flatten, add, Dense, add, Activation, add, Dropout, add, , 27.0
proj[] = add, Dense, rmsprop, compile, Sequential, add, Dense, add, , 27.0
proj[] = add, Dropout, add, Dense, adam, compile, Sequential, add, , 27.0
proj[] = add, Flatten, add, Dense, add, Activation, add, Dropout, , 27.0
proj[] = astype, astype, print, print, to_categorical, to_categorical, Sequential, add, , 27.0
proj[] = l2, add, Activation, add, BatchNormalization, add, Dropout, add, , 27.0
proj[] = range, print, format, numpy, predict, max, print, , , 27.0
proj[] = reshape, astype, astype, print, print, to_categorical, to_categorical, Sequential, , 27.0
proj[] = add, Dropout, add, Conv2D, l2, add, Activation, add, , 26.0
proj[] = check_error, range, print, format, numpy, predict, max, print, , 26.0
proj[] = model, pytorch_to_keras, check_error, range, print, format, numpy, predict, , 26.0
proj[] = pytorch_to_keras, check_error, range, print, format, numpy, predict, max, , 26.0
proj[] = Activation, add, Dense, add, Activation, add, Dense, add, , 25.0
proj[] = Dense, add, Dense, rmsprop, compile, Sequential, add, Dense, , 25.0
proj[] = Dense, rmsprop, compile, Sequential, add, Dense, add, Dense, , 25.0
proj[] = adam, compile, Sequential, add, Dense, add, Dense, add, , 25.0
proj[] = add, Dense, add, Dense, rmsprop, compile, Sequential, add, , 25.0
proj[] = 'softplus', conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, Dense, 'softplus', , 24.0
proj[] = 0.995, GlobalMaxPooling3D, momentum, Dense, 'softplus', conv_block, BatchNormalization, 0.995, , 24.0
proj[] = Activation, add, BatchNormalization, add, Dropout, add, Conv2D, l2, , 24.0
proj[] = BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, Dense, 'softplus', conv_block, BatchNormalization, , 24.0
proj[] = BatchNormalization, add, Dropout, add, Conv2D, l2, add, Activation, , 24.0
proj[] = Conv2D, l2, add, Activation, add, BatchNormalization, add, Dropout, , 24.0
proj[] = Dense, 'softplus', conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, Dense, , 24.0
proj[] = Dense, add, Dense, add, Dense, Adadelta, compile, Sequential, , 24.0
proj[] = Dropout, add, Conv2D, l2, add, Activation, add, BatchNormalization, , 24.0
proj[] = GlobalMaxPooling3D, momentum, Dense, 'softplus', conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, , 24.0
proj[] = add, Activation, add, BatchNormalization, add, Dropout, add, Conv2D, , 24.0
proj[] = add, BatchNormalization, add, Dropout, add, Conv2D, l2, add, , 24.0
proj[] = add, Flatten, add, Dense, add, Activation, add, Dense, , 24.0
proj[] = compile, Sequential, add, Dense, add, Dropout, add, Dense, , 24.0
proj[] = conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, Dense, 'softplus', conv_block, , 24.0
proj[] = momentum, Dense, 'softplus', conv_block, BatchNormalization, 0.995, GlobalMaxPooling3D, momentum, , 24.0
proj[] = predict, nonzero, len, append, int, range, int, max, , 24.0
proj[] = random_uniform, ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, run, run, shape, , 24.0
proj[] = Flatten, add, Dense, add, Dropout, add, Dense, add, , 23.0
proj[] = ReLU, Linear, Sigmoid, Sequential, Linear, ReLU, Linear, Sigmoid, , 23.0
proj[] = add, Conv2D, add, Activation, add, Conv2D, add, Activation, , 23.0
proj[] = add, Dense, add, Dense, adam, compile, Sequential, add, , 23.0
proj[] = compile, Sequential, add, Dense, add, Dense, Adadelta, compile, , 23.0
proj[] = , , read_data_sets, Sequential, Linear, ReLU, Linear, Sigmoid, , 22.0
proj[] = , read_data_sets, Sequential, Linear, ReLU, Linear, Sigmoid, Sequential, , 22.0
proj[] = Activation, add, Conv2D, add, Activation, add, MaxPooling2D, add, , 22.0
proj[] = Activation, add, Dropout, add, Dense, add, Activation, add, , 22.0
proj[] = Conv2D, add, Activation, add, Conv2D, add, Activation, add, , 22.0
proj[] = Conv2d, Conv2d, Dropout2d, Linear, Linear, relu, max_pool2d, conv1, , 22.0
proj[] = Conv2d, Dropout2d, Linear, Linear, relu, max_pool2d, conv1, relu, , 22.0
proj[] = Dropout2d, Linear, Linear, relu, max_pool2d, conv1, relu, max_pool2d, , 22.0
proj[] = Linear, Linear, relu, max_pool2d, conv1, relu, max_pool2d, conv2_drop, , 22.0
proj[] = Linear, relu, max_pool2d, conv1, relu, max_pool2d, conv2_drop, conv2, , 22.0
proj[] = __init__, Conv2d, Conv2d, Dropout2d, Linear, Linear, relu, max_pool2d, , 22.0
proj[] = add, Activation, add, Conv2D, add, Activation, add, MaxPooling2D, , 22.0
proj[] = add, Activation, add, MaxPooling2D, add, Dropout, add, Flatten, , 22.0
proj[] = add, Dense, l2, add, Dense, l2, add, Dense, , 22.0
proj[] = preprocess, predict, postprocess, restore_map, assertIsInstance, Saver, restore, assertNotIn, , 22.0
proj[] = random_uniform, preprocess, predict, postprocess, restore_map, assertIsInstance, Saver, restore, , 22.0
proj[] = read_data_sets, Sequential, Linear, ReLU, Linear, Sigmoid, Sequential, Linear, , 22.0
proj[] = super, __init__, Conv2d, Conv2d, Dropout2d, Linear, Linear, relu, , 22.0
proj[] = to_float, random_uniform, preprocess, predict, postprocess, restore_map, assertIsInstance, Saver, , 22.0
proj[] = Activation, Convolution, Activation, Pooling, Convolution, Activation, Convolution, Activation, , 21.0
proj[] = Activation, add, MaxPooling2D, add, Dropout, add, Flatten, add, , 21.0
proj[] = Conv2D, add, LeakyReLU, add, Dropout, add, Conv2D, add, , 21.0
proj[] = Convolution, Activation, Convolution, Activation, Pooling, Convolution, Activation, Convolution, , 21.0
proj[] = Dense, add, Dense, adam, compile, Sequential, add, Dense, , 21.0
proj[] = Dropout, add, TimeDistributedDense, add, Activation, Sequential, add, MaxDot, , 21.0
proj[] = Flatten, add, Dense, add, Activation, add, Dense, add, , 21.0
proj[] = Sequential, add, Dense, add, Dense, add, Dense, compile, , 21.0
proj[] = TimeDistributedDense, add, Activation, Sequential, add, MaxDot, add, Reshape, , 21.0
proj[] = add, Conv2D, add, LeakyReLU, add, Dropout, add, Conv2D, , 21.0
proj[] = add, Convolution2D, add, Activation, add, MaxPooling2D, add, Dropout, , 21.0
proj[] = add, Dropout, add, Dense, add, Activation, add, Dropout, , 21.0
proj[] = add, Flatten, add, Dense, add, Dense, add, Dense, , 21.0
proj[] = add, TimeDistributedDense, add, Activation, Sequential, add, MaxDot, add, , 21.0
proj[] = Activation, Sequential, add, MaxDot, add, Reshape, Sequential, add, , 20.0
proj[] = Activation, add, Convolution2D, add, Activation, add, MaxPooling2D, add, , 20.0
proj[] = Adadelta, compile, Sequential, add, Dense, add, Dense, add, , 20.0
proj[] = Dense, l2, 1e-4, Input, conv_block, AveragePooling3D, x1_ident, merge, , 20.0
proj[] = Dropout, add, Dense, add, Activation, add, Dropout, add, , 20.0
proj[] = Sequential, add, Dense, l2, add, Dense, l2, add, , 20.0
proj[] = add, Activation, Sequential, add, MaxDot, add, Reshape, Sequential, , 20.0
proj[] = add, Activation, add, Convolution2D, add, Activation, add, MaxPooling2D, , 20.0
proj[] = add, Conv2D, add, Conv2D, add, Flatten, add, Dense, , 20.0
proj[] = add, Dropout, add, Flatten, add, Dense, add, Activation, , 20.0
proj[] = eval, replace, replace, replace, len, array, Dense, l2, , 20.0
proj[] = meshgrid, arange, arange, predict, ravel, ravel, reshape, figure, , 20.0
proj[] = replace, eval, replace, replace, replace, len, array, Dense, , 20.0
proj[] = to_categorical, to_categorical, Sequential, add, Dense, add, Activation, add, , 20.0
proj[] = Conv2D, add, Conv2D, add, Flatten, add, Dense, add, , 19.0
proj[] = Dropout, add, Flatten, add, Dense, add, Activation, add, , 19.0
proj[] = MaxDot, add, Reshape, Sequential, add, Dense, add, Activation, , 19.0
proj[] = Sequential, add, MaxDot, add, Reshape, Sequential, add, Dense, , 19.0
proj[] = add, Conv2D, add, MaxPooling2D, add, Flatten, add, Dense, , 19.0
proj[] = add, MaxDot, add, Reshape, Sequential, add, Dense, add, , 19.0
proj[] = astype, print, print, to_categorical, to_categorical, Sequential, add, Dense, , 19.0
proj[] = placeholder, predict, set, global_variables_initializer, run, run, zeros, assertEqual, , 19.0
proj[] = predict, reshape, zeros, predict, reshape, zeros, rand, range, , 19.0
proj[] = predict, set, global_variables_initializer, run, run, zeros, assertEqual, set, , 19.0
proj[] = print, print, to_categorical, to_categorical, Sequential, add, Dense, add, , 19.0
proj[] = Adadelta, compile, Sequential, add, Dense, add, Dense, Adadelta, , 18.0
proj[] = Conv2D, add, MaxPooling2D, add, Conv2D, add, MaxPooling2D, add, , 18.0
proj[] = Conv2D, add, MaxPooling2D, add, Flatten, add, Dense, add, , 18.0
proj[] = Convolution2D, add, Activation, add, MaxPooling2D, add, Dropout, add, , 18.0
proj[] = Dense, adam, compile, Sequential, add, Dense, add, Dropout, , 18.0
proj[] = Dense, add, Dropout, add, Dense, adam, compile, realpath, , 18.0
proj[] = Dense, l2, add, Dense, l2, add, Dense, summary, , 18.0
proj[] = Dense, l2, add, Dense, summary, EarlyStopping, ReduceLROnPlateau, compile, , 18.0
proj[] = Dropout, add, Dense, adam, compile, realpath, print, print, , 18.0
proj[] = Dropout, add, Dense, add, Dropout, add, Dense, add, , 18.0
proj[] = Dropout, add, Flatten, add, Dense, add, Dropout, add, , 18.0
proj[] = Sequential, add, Dense, add, Dense, Adadelta, compile, Sequential, , 18.0
proj[] = adam, compile, Sequential, add, Dense, add, Dropout, add, , 18.0
proj[] = add, Conv2D, add, MaxPooling2D, add, Conv2D, add, MaxPooling2D, , 18.0
proj[] = add, Conv2D, l2, add, BatchNormalization, add, Activation, add, , 18.0
proj[] = add, Dense, add, LeakyReLU, add, BatchNormalization, add, Dense, , 18.0
proj[] = add, Dense, l2, add, Dense, summary, EarlyStopping, ReduceLROnPlateau, , 18.0
proj[] = add, Dropout, add, Dense, adam, compile, realpath, print, , 18.0
proj[] = add, Dropout, add, Flatten, add, Dense, add, Dropout, , 18.0
proj[] = add, Dropout, add, LSTM, add, Dropout, add, Dense, , 18.0
proj[] = add, MaxPooling2D, add, Flatten, add, Dense, add, Dense, , 18.0
proj[] = isfile, concatenate, zeros, predict, reshape, zeros, predict, reshape, , 18.0
proj[] = l2, add, Dense, l2, add, Dense, summary, EarlyStopping, , 18.0
proj[] = l2, add, Dense, summary, EarlyStopping, ReduceLROnPlateau, compile, fit, , 18.0
proj[] = load_weights, print, isfile, concatenate, zeros, predict, reshape, zeros, , 18.0
proj[] = predict, reshape, zeros, predict, reshape, fabs, fabs, rand, , 18.0
proj[] = print, isfile, concatenate, zeros, predict, reshape, zeros, predict, , 18.0
proj[] = print, load_weights, print, isfile, concatenate, zeros, predict, reshape, , 18.0
proj[] = print, print, load_weights, print, isfile, concatenate, zeros, predict, , 18.0
proj[] = to_categorical, Sequential, add, Dense, add, Activation, add, Dropout, , 18.0
proj[] = zeros, predict, reshape, zeros, predict, reshape, zeros, rand, , 18.0
proj[] = , , super, __init__, Conv2d, Conv2d, Dropout2d, Linear, , 17.0
proj[] = , super, __init__, Conv2d, Conv2d, Dropout2d, Linear, Linear, , 17.0
proj[] = BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Sequential, , 17.0
proj[] = Conv2D, add, MaxPooling2D, add, Dropout, add, Flatten, add, , 17.0
proj[] = ReLU, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Sequential, Conv2d, , 17.0
proj[] = add, Conv2D, add, Activation, add, MaxPooling2D, add, Dropout, , 17.0
proj[] = add, Conv2D, add, Flatten, add, Dense, add, Dense, , 17.0
proj[] = add, Conv2D, add, MaxPooling2D, add, Dropout, add, Flatten, , 17.0
proj[] = alen, set_weights, range, concatenate, zeros, predict, reshape, zeros, , 17.0
proj[] = algo, getattr, algo, fit, fit, predict, predict, assertIsInstance, , 17.0
proj[] = getattr, algo, fit, fit, predict, predict, assertIsInstance, assert_numpy_array_almost_equal, , 17.0
proj[] = getattr, algo, getattr, algo, fit, fit, predict, predict, , 17.0
proj[] = range, concatenate, zeros, predict, reshape, zeros, predict, reshape, , 17.0
proj[] = set_weights, range, concatenate, zeros, predict, reshape, zeros, predict, , 17.0
proj[] = BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Sequential, Conv2d, BatchNorm2d, LambdaReduce, , 16.0
proj[] = BatchNorm2d, Sequential, Conv2d, BatchNorm2d, LambdaReduce, ReLU, Sequential, LambdaMap, , 16.0
proj[] = Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, , 16.0
proj[] = Conv2D, IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, , 16.0
proj[] = Conv2D, l2, he_normal, add, BatchNormalization, add, Activation, add, , 16.0
proj[] = Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, Sequential, Conv2d, BatchNorm2d, , 16.0
proj[] = Conv2d, BatchNorm2d, Sequential, Conv2d, BatchNorm2d, LambdaReduce, ReLU, Sequential, , 16.0
proj[] = Dense, add, Dense, add, Dense, add, Dense, add, , 16.0
proj[] = Graph, _build_model, to_float, random_uniform, preprocess, predict, postprocess, restore_map, , 16.0
proj[] = IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, MaxPooling2D, IMAGE_ORDERING, Conv2D, IMAGE_ORDERING, Conv2D, , 16.0
proj[] = LSTM, add, Dropout, add, LSTM, add, Dropout, add, , 16.0
proj[] = LambdaMap, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, ReLU, , 16.0
proj[] = MaxPooling2D, add, Flatten, add, Dense, add, Dense, add, , 16.0
proj[] = ReLU, Conv2d, BatchNorm2d, Sequential, Conv2d, BatchNorm2d, LambdaReduce, ReLU, , 16.0
proj[] = Sequential, Conv2d, BatchNorm2d, LambdaReduce, ReLU, Sequential, LambdaMap, Sequential, , 16.0
proj[] = Sequential, LambdaMap, Sequential, Conv2d, BatchNorm2d, ReLU, Conv2d, BatchNorm2d, , 16.0
proj[] = Sequential, add, Convolution2D, add, Activation, add, Convolution2D, add, , 16.0
proj[] = _build_model, to_float, random_uniform, preprocess, predict, postprocess, restore_map, assertIsInstance, , 16.0
proj[] = add, Conv2D, l2, he_normal, add, BatchNormalization, add, Activation, , 16.0
proj[] = add, LSTM, add, Dropout, add, LSTM, add, Dropout, , 16.0
proj[] = add, MaxPooling2D, add, Conv2D, l2, add, Activation, add, , 16.0
proj[] = assertAllEqual, assertAllEqual, test_session, random_uniform, ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, , 16.0
proj[] = assertAllEqual, test_session, random_uniform, ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, run, , 16.0
proj[] = len, now, predict, range, now, print, print, total_seconds, , 16.0
proj[] = load_data, reshape, reshape, astype, astype, to_categorical, to_categorical, Sequential, , 16.0
proj[] = now, predict, range, now, print, print, total_seconds, total_seconds, , 16.0
proj[] = predict, postprocess, restore_map, assertIsInstance, Saver, restore, assertNotIn, assertNotIn, , 16.0
proj[] = predict, range, now, print, print, total_seconds, total_seconds, append, , 16.0
proj[] = reshape, astype, astype, to_categorical, to_categorical, Sequential, add, Dense, , 16.0
proj[] = reshape, reshape, astype, astype, to_categorical, to_categorical, Sequential, add, , 16.0
proj[] = rnn, Model, compile, fit, random, random, predict, random, , 16.0
proj[] = shape, assertAllEqual, assertAllEqual, test_session, random_uniform, ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, , 16.0
proj[] = test_session, random_uniform, ConvolutionalBoxPredictor, _build_arg_scope_with_conv_hyperparams, predict, global_variables_initializer, run, run, , 16.0
proj[] = Conv2D, add, Activation, add, MaxPooling2D, add, Dropout, add, , 15.0
proj[] = Conv2D, l2, add, Activation, add, BatchNormalization, add, MaxPooling2D, , 15.0
proj[] = Conv2d, Conv2d, ConcatLayer, variable_scope, Conv2d, Conv2d, Conv2d, ConcatLayer, , 15.0
proj[] = Conv2d, Conv2d, MaxPool2d, Conv2d, Conv2d, Conv2d, Conv2d, MaxPool2d, , 15.0
proj[] = Dense, add, Dense, add, Dense, Adadelta, compile, realpath, , 15.0
proj[] = Dropout, add, Dense, add, Dropout, add, Dense, adam, , 15.0
proj[] = FastLinearBinaryClassifier, fit, predict, isinstance, sorted, list, DataFrame, dict, , 15.0
proj[] = ModelFrame, getattr, algo, getattr, algo, fit, fit, predict, , 15.0
proj[] = Sequential, add, Conv2D, add, MaxPooling2D, add, Conv2D, add, , 15.0
proj[] = Sequential, add, LSTM, add, Dropout, add, LSTM, add, , 15.0
proj[] = add, Activation, add, Convolution2D, add, Activation, add, Convolution2D, , 15.0
proj[] = add, Dense, add, Dense, add, Dense, rmsprop, compile, , 15.0
proj[] = l2, add, Activation, add, BatchNormalization, add, MaxPooling2D, add, , 15.0
proj[] = print, len, now, predict, range, now, print, print, , 15.0
proj[] = print, print, len, now, predict, range, now, print, , 15.0
proj[] = rmsprop, compile, Sequential, add, Dense, add, Dense, add, , 15.0
proj[] = super, __init__, Conv2d, BatchNorm2d, Conv2d, BatchNorm2d, Conv2d, BatchNorm2d, , 15.0
proj[] = variable_scope, Conv2d, Conv2d, Conv2d, ConcatLayer, variable_scope, Conv2d, Conv2d, , 15.0
